transaction_id,price,date_of_transfer,postcode,property_type,new_build,tenure,address,locality,town_city,district,county,ppd_category_type,record_status
{241A4A53-B1D6-706B-E050-A8C06205638B},194000,2015-10-02 00:00,M41 9PG,D,N,F,7,,DURNFORD AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1768-E510-E050-A8C06205480E},103000,2015-11-20 00:00,M41 9NB,F,N,L,58,,HARCOURT CLOSE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1981-E510-E050-A8C06205480E},115000,2015-12-16 00:00,M41 8GR,F,N,L,QUEENS COURT,FLAT 11,WOODSEND ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{241A4A53-B1F8-706B-E050-A8C06205638B},158500,2015-10-23 00:00,M41 8UN,S,N,F,19,,LAWRENCE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{24267EE7-253F-46D8-849C-A6551006860B},124995,2015-03-20 00:00,M41 9NU,F,Y,L,302,APARTMENT 5,STRETFORD ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{12F6368C-E606-47EB-B030-53BDDB50BB06},314000,2015-04-14 00:00,M41 0QD,S,N,F,11,,BRADDON AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{3B0C2BA5-7EC5-444F-9B21-A6586CC68B4A},235000,2015-07-31 00:00,M41 0SU,D,N,L,33,,LOSTOCK ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-17B8-E510-E050-A8C06205480E},153000,2015-11-27 00:00,M41 6QN,T,N,F,33,,PARSONAGE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-19B4-E510-E050-A8C06205480E},143500,2015-11-30 00:00,M41 6HH,T,N,L,2,,CAMBRIDGE ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1BEA-E510-E050-A8C06205480E},314000,2015-12-11 00:00,M41 9LG,T,N,F,79,,STRETFORD ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1DE9-E510-E050-A8C06205480E},289999,2015-11-09 00:00,M41 9SG,S,N,F,19,,WALMSLEY GROVE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{F00E9488-BC53-4384-9E6E-53D182D32741},172500,2015-05-01 00:00,M41 0TE,S,N,L,50,,CONWAY ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{275EB6B4-983C-4120-A534-5AF16142DE53},219950,2015-07-20 00:00,M41 5RU,S,N,F,13,,CLIFTON ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-17E0-E510-E050-A8C06205480E},180000,2015-12-03 00:00,M41 6PR,S,N,L,58,,MERWELL ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1A15-E510-E050-A8C06205480E},255000,2015-11-19 00:00,M41 0SD,S,N,L,18,,GUILDFORD ROAD,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C19-E510-E050-A8C06205480E},160000,2015-12-14 00:00,M41 7FE,S,N,F,341,,KINGSWAY PARK,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1C2F-E510-E050-A8C06205480E},157995,2015-11-13 00:00,M41 9AG,S,N,F,29,,CISS LANE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
{288DCE29-1E2E-E510-E050-A8C06205480E},355000,2015-12-11 00:00,M41 8SD,D,N,L,24,,DELBOOTH AVENUE,URMSTON,MANCHESTER,TRAFFORD,GREATER MANCHESTER
